filename,x,y,width,height
train/image_0001.png,0,0,0,0
train/image_0002.png,0,0,0,0
train/image_0003.png,0,0,0,0
train/image_0005.png,555.057,48.52243,34.33466,85.19258
train/image_0006.png,312.5696,154.0192,74.35648,62.03641
train/image_0007.png,0,0,0,0
train/image_0008.png,401.2654,125.6199,52.50836,59.59046
train/image_0009.png,0,0,0,0
train/image_0010.png,547.1489,78.04024,23.87787,53.22351
train/image_0011.png,0,0,0,0
train/image_0012.png,277.2171,109.9852,73.51804,63.63687
train/image_0013.png,440.2462,80.4682,45.21518,64.70995
train/image_0014.png,263.9736,60.99387,67.53079,63.75639
train/image_0017.png,0,0,0,0
train/image_0019.png,0,0,0,0
train/image_0020.png,0,0,0,0
train/image_0021.png,358.6888,95.70025,54.79858,59.55889
train/image_0022.png,420.4893,118.7121,51.80551,63.42191
train/image_0024.png,0,0,0,0
train/image_0025.png,392.8513,132.4325,54.43668,59.22752
train/image_0026.png,384.4023,18.25283,59.89844,82.75781
train/image_0027.png,0,0,0,0
train/image_0028.png,540.4506,182.5665,31.41602,51.40166
train/image_0029.png,258.0833,98.97519,67.16846,57.36996
train/image_0030.png,0,0,0,0
train/image_0033.png,0,0,0,0
train/image_0034.png,255.9374,83.09875,74.37877,65.67763
train/image_0035.png,0,0,0,0
train/image_0037.png,523.7831,174.8101,31.91205,49.35898
train/image_0038.png,267.4778,59.60271,62.4176,59.54723
train/image_0039.png,0,0,0,0
train/image_0041.png,396.1347,166.0191,42.80048,42.85257
train/image_0042.png,286.6317,66.58867,74.8826,73.29529
train/image_0044.png,539.3784,130.8137,23.35992,43.98622
train/image_0045.png,444.3168,91.00856,44.70181,63.26714
train/image_0046.png,0,0,0,0
train/image_0048.png,540.5678,192.9329,24.12213,38.24899
train/image_0049.png,0,0,0,0
train/image_0050.png,0,0,0,0
train/image_0052.png,0,0,0,0
train/image_0053.png,0,0,0,0
train/image_0054.png,0,0,0,0
train/image_0056.png,374.5447,62.22673,71.99127,88.18066
train/image_0057.png,259.8745,116.4753,85.17007,69.92406
train/image_0058.png,338.9413,182.7012,65.72781,53.74799
train/image_0059.png,300.5038,119.332,59.81216,53.23779
train/image_0060.png,498.191,150.7768,29.62988,43.93892
train/image_0061.png,418.9232,103.3116,57.28925,72.52651
train/image_0062.png,335.4288,34.56035,52.1369,61.26494
train/image_0063.png,472.1014,100.4628,42.13611,64.2999
train/image_0064.png,299.707,22.45375,65.17621,72.18517
train/image_0065.png,0,0,0,0
train/image_0067.png,357.1628,110.409,49.63751,51.83812
train/image_0068.png,437.5876,202.0662,50.65134,51.621
train/image_0069.png,240.9977,125.9739,85.28439,65.76245
train/image_0070.png,315.1974,40.1342,67.1008,74.23425
train/image_0071.png,0,0,0,0
train/image_0072.png,411.5565,80.58604,49.07059,64.11198
train/image_0074.png,202.2305,31.22737,82.299,73.34949
train/image_0075.png,0,0,0,0
train/image_0076.png,0,0,0,0
train/image_0077.png,0,0,0,0
train/image_0078.png,358.2992,75.6636,77.56946,88.27331
train/image_0079.png,0,0,0,0
train/image_0080.png,0,0,0,0
train/image_0081.png,284.2152,181.7145,59.89548,43.25204
train/image_0082.png,0,0,0,0
train/image_0083.png,448.5264,175.7328,34.05429,39.05621
train/image_0086.png,309.3424,115.0853,75.82291,69.61185
train/image_0087.png,228.7503,87.40059,76.0587,62.96565
